source_id,source_oficio_key,relacao,target_oficio_key,target_oficio,target_item,target_perguntas,target_no_base,raw
cvm175-seq-0186,OC-2-2024-SIN,referencia,OCC-1-2023-SIN-SSE,Oficio-Circular-Conjunto nº 1/2023/SIN/SSE,,,False,Item 4 Oficio-Circular-Conjunto nº 1/2023/SIN/SSE
cvm175-seq-0191,OC-2-2024-SIN,referencia,OC-2-2023-SIN,Ofício-Circular nº 2/2023/SIN,,33,True,Item L > Pergunta 33 Ofício-Circular nº 2/2023/SIN
cvm175-seq-0192,OC-2-2024-SIN,referencia,OCC-1-2023-CVM-SIN-SSE,Ofício-Circular-Conjunto nº 1/2023/CVM/SIN/SSE,,,False,Retifica o item 2 do Ofício-Circular-Conjunto nº 1/2023/CVM/SIN/SSE
cvm175-seq-0194,OC-3-2024-SIN,referencia,OC-6-2024-SIN,Ofício-Circular nº 6/2024/SIN,2 a 9,,True,itens 2 a 9 do Ofício-Circular nº 6/2024/SIN
cvm175-seq-0195,OC-3-2024-SIN,referencia,OC-6-2024-SIN,Ofício-Circular nº 6/2024/SIN,2 a 9,,True,itens 2 a 9 do Ofício-Circular nº 6/2024/SIN
cvm175-seq-0196,OC-3-2024-SIN,referencia,OC-6-2024-SIN,Ofício-Circular nº 6/2024/SIN,2 a 9,,True,itens 2 a 9 do Ofício-Circular nº 6/2024/SIN
cvm175-seq-0197,OC-3-2024-SIN,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,36,True,Item 1.8. > Pergunta 36 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0197,OC-3-2024-SIN,referencia,OC-3-2024-SIN,Ofício-Circular nº 3/2024/SIN,,1,True,Item 2 > Pergunta 1 Ofício-Circular nº 3/2024/SIN
cvm175-seq-0197,OC-3-2024-SIN,complementa,OC-1-2023-CVM-SIN-SSE,Ofício-Circular 01/2023/CVM/SIN/SSE,,,False,Complementa o  item 36 do Ofício-Circular 01/2023/CVM/SIN/SSE
cvm175-seq-0208,OC-6-2024-SIN,referencia,OC-2-2024-CVM-SIN,Ofício-Circular nº 2/2024/CVM/SIN,,,False,Retifica o item 6 do Ofício-Circular nº 2/2024/CVM/SIN
cvm175-seq-0209,OC-6-2024-SIN,referencia,OC-3-2024-SIN,Ofício-Circular nº 3/2024/SIN,,1 a 3,True,Item 1 > Perguntas 1 a 3 Ofício-Circular nº 3/2024/SIN
cvm175-seq-0211,OC-6-2024-SIN,referencia,,,,,False,Revoga item 83 do Oficio Circular Conjunto 1/23/CVM/SIN/SSE
cvm175-seq-0219,OC-6-2024-SSE,referencia,OC-8-2023-SSE,Ofício-Circular nº 8/2023/SSE,,,True,Item I Ofício-Circular nº 8/2023/SSE
cvm175-seq-0220,OC-7-2024-SIN,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,29 e 30,True,Item 1.8. > Perguntas 29 e 30 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0222,OC-7-2024-SIN,referencia,OCC-2-2023-SIN-SSE,Ofício-Circular Conjunto nº 02/2023/SIN/SSE,,,True,Item 1.a Ofício-Circular Conjunto nº 02/2023/SIN/SSE
cvm175-seq-0223,OCC-2-2024-SIN-SSE,referencia,OC-3-2024-CVM-SIN,Ofício-Circular nº 3/2024/CVM/SIN,,,False,Ofício-Circular nº 3/2024/CVM/SIN
cvm175-seq-0223,OCC-2-2024-SIN-SSE,referencia,OC-6-2024-CVM-SIN,Ofício-Circular nº 6/2024/CVM/SIN,,,False,Ofício-Circular nº 6/2024/CVM/SIN
cvm175-seq-0223,OCC-2-2024-SIN-SSE,referencia,OCC-2-2024-SIN-SSE,Ofício-Circular Conjunto nº 2/2024/SIN/SSE,,,True,Item 1 Ofício-Circular Conjunto nº 2/2024/SIN/SSE
cvm175-seq-0224,OCC-2-2024-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,3,True,"Item 1.1., Pergunta 3, Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0229,OC-2-2025-SIN,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,53,True,Item 1.14. > Pergunta 53 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0240,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0240,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
